protein1 protein2
YAL003W YML026C
YAL003W YMR194W
YAL003W YER117W
YAL003W YMR121C
YAL003W YKR084C
YAL003W YEL034W
YAL003W YOR133W
YAL003W YPL081W
YAL003W YLR344W
YAL003W YBR189W
YAL003W YOR167C
YAL003W YGL103W
YAL003W YFL034C-A
YAL003W YMR143W
YAL003W YDL075W
YAL003W YNL302C
YAL003W YOL040C
YAL003W YCR031C
YAL003W YGR201C
YAL003W YDL081C
YAL003W YBR048W
YAL003W YLR448W
YAL003W YIL018W
YAL003W YMR146C
YAL003W YPL249C-A
YAL003W YMR116C
YAL003W YLR167W
YAL003W YLR075W
YAL003W YGL076C
YAL003W YJR113C
YAL003W YDL136W
YAL003W YHR141C
YAL003W YLR264W
YAL003W YGR027C
YAL003W YNL096C
YAL003W YOL120C
YAL003W YLR441C
YAL003W YDL130W
YAL003W YBR191W
YAL003W YGR148C
YAL003W YGR214W
YAL003W YPR043W
YAL003W YLR388W
YAL003W YML063W
YAL003W YOL127W
YAL003W YLR061W
YAL003W YDR385W
YAL003W YML024W
YAL003W YPR132W
YAL003W YHL015W
YAL003W YKR057W
YAL003W YPR102C
YAL003W YHL033C
YAL003W YHR203C
YAL003W YGL030W
YAL003W YKL056C
YAL003W YDR012W
YAL003W YBL072C
YAL003W YMR142C
YAL003W YOR234C
YAL003W YDL083C
YAL003W YOR076C
YAL003W YDL229W
YAL003W YDR025W
YAL003W YOR293W
YAL003W YBR084C-A
YAL003W YOR369C
YAL003W YPL079W
YAL003W YMR230W
YAL003W YJR145C
YAL003W YGR118W
YAL003W YIL052C
YAL003W YEL054C
YAL003W YNL081C
YAL003W YGR094W
YAL003W YDR382W
YAL003W YLL045C
YAL003W YMR242C
YAL003W YGL123W
YAL003W YNL178W
YAL003W YKR094C
YAL003W YNL067W
YAL003W YDL191W
YAL003W YML073C
YAL003W YJL191W
YAL003W YDL082W
YAL003W YDR471W
YAL003W YPL220W
YAL003W YLR029C
YAL003W YIL133C
YAL003W YDR450W
YAL003W YFR032C-A
YAL003W YOR312C
YAL003W YPL048W
YAL003W YJL177W
