protein1 protein2
YIL103W YGR200C
YIL103W YLR143W
YIL103W YBR246W
YIL103W YKL191W
YIL103W YLR172C
YIL103W YOR133W
YIL103W YBL071W-A
YIL104C YHR072W-A
YIL104C YOR310C
YIL104C YNL124W
YIL104C YLR197W
YIL104C YHR089C
YIL104C YLR175W
YIL104C YDR190C
YIL104C YPL235W
YIL104C YDL208W
YIL105C YNL006W
YIL105C YBR270C
YIL105C YER093C
YIL105C YKL203C
YIL105C YMR068W
YIL105C YNL047C
YIL105C YJL058C
YIL105C YOL078W
YIL106W YMR055C
YIL106W YML064C
YIL106W YBR160W
YIL106W YGR092W
YIL106W YJR053W
YIL106W YPR111W
YIL106W YAR019C
YIL106W YAL024C
YIL106W YMR032W
YIL106W YNL161W
YIL106W YMR001C
YIL106W YOR233W
YIL106W YFR028C
YIL106W YOR373W
YIL107C YGR240C
YIL107C YJL155C
YIL107C YLR377C
YIL107C YER003C
YIL107C YLR345W
YIL107C YMR205C
YIL108W YER034W
YIL109C YFR051C
YIL109C YKR068C
YIL109C YLR268W
YIL109C YNL049C
YIL109C YGL229C
YIL109C YNR026C
YIL109C YKR028W
YIL109C YFL038C
YIL109C YNL287W
YIL109C YPL085W
YIL109C YDL047W
YIL109C YLR026C
YIL109C YLR078C
YIL109C YDL195W
YIL109C YGR233C
YIL109C YHR035W
YIL109C YJL004C
YIL109C YJL098W
YIL109C YPL218W
YIL109C YFR040W
YIL109C YIL004C
YIL109C YHR098C
YIL109C YLR208W
YIL109C YDL149W
YIL109C YGL137W
YIL109C YPR181C
YIL109C YDR517W
YIL110W YIL064W
YIL110W YJR129C
YIL110W YBR271W
YIL110W YNL024C
YIL111W YMR256C
YIL111W Q0105
YIL111W YDR529C
YIL111W Q0250
YIL111W YHR001W-A
YIL111W YLR038C
YIL111W YDL067C
YIL111W YPR191W
YIL111W YMR145C
YIL111W YDL085W
YIL111W YGL191W
YIL111W YGR183C
YIL111W YJL166W
YIL111W YOR065W
YIL111W YKL192C
YIL111W YDR119W-A
YIL111W YEL024W
YIL111W Q0275
YIL111W YEL039C
YIL111W YDL004W
YIL111W YBL045C
YIL111W YLR395C
YIL111W YGL187C
YIL111W Q0045
YIL111W YML120C
YIL111W YHR051W
YIL111W Q0120
YIL111W YFR033C
YIL112W YCR033W
YIL112W YBR103W
YIL112W YKR029C
YIL112W YOL068C
YIL112W YDR155C
YIL112W YGL194C
YIL113W YPL089C
YIL113W YKL161C
YIL113W YHR030C
YIL114C YGR132C
YIL114C YGR231C
YIL114C YMR203W
YIL114C YLR038C
YIL114C YDR529C
YIL114C YEL024W
YIL115C YKL068W
YIL115C YIL149C
YIL115C YFR002W
YIL115C YDR381W
YIL115C YDL088C
YIL115C YDR424C
YIL115C YER172C
YIL115C YKL057C
YIL115C YGR119C
YIL115C YOR098C
YIL115C YDR335W
YIL115C YLR293C
YIL115C YMR235C
YIL115C YJL039C
YIL115C YGL172W
YIL115C YJR042W
YIL115C YDL207W
YIL115C YOR046C
YIL115C YLR018C
YIL115C YKR082W
YIL115C YJL041W
YIL115C YGL100W
YIL115C YER107C
YIL115C YGL092W
YIL115C YJL061W
YIL115C YAR002W
YIL115C YER105C
YIL115C YMR129W
YIL115C YMR153W
YIL115C YDL116W
YIL115C YLR335W
YIL115C YMR047C
YIL115C YPL169C
YIL115C YER009W
YIL115C YNL189W
YIL115C YLR347C
YIL115C YBL079W
YIL115C YDR192C
YIL115C YGR218W
YIL116W YNL316C
YIL116W YBR248C
YIL116W YIL020C
YIL116W YFR025C
YIL116W YER055C
YIL116W YKL211C
YIL116W YBR166C
YIL116W YOR202W
YIL116W YCL030C
YIL116W YHR018C
YIL118W YPR055W
YIL118W YLR310C
YIL118W YOR326W
YIL118W YPL259C
YIL118W YER008C
YIL118W YOR181W
YIL118W YDL135C
YIL118W YBR200W
YIL118W YBR102C
YIL118W YOR134W
YIL118W YNL271C
YIL118W YER114C
YIL118W YPR032W
YIL118W YGL233W
YIL118W YGR009C
YIL118W YLR166C
YIL118W YFL039C
YIL118W YHR114W
YIL118W YLR229C
YIL118W YCR038C
YIL118W YJL085W
YIL118W YJL201W
YIL118W YFL005W
YIL118W YMR232W
YIL118W YBR260C
YIL118W YDR389W
YIL120W YNR055C
YIL120W YLL028W
YIL121W YGR138C
YIL121W YPR156C
YIL121W YLL028W
YIL121W YHR048W
YIL121W YNR055C
YIL124W YKL140W
YIL124W YMR313C
YIL124W YPR139C
YIL124W YOR175C
YIL124W YKR089C
YIL124W YOR081C
YIL124W YBL011W
YIL124W YKR067W
YIL124W YDL052C
YIL125W YPL262W
YIL125W YAL062W
YIL125W YNL009W
YIL125W YKL106W
YIL125W YOR136W
YIL125W YBL099W
YIL125W YJL045W
YIL125W YKL141W
YIL125W YJR121W
YIL125W YBR221C
YIL125W YOR375C
YIL125W YFL018C
YIL125W YFR049W
YIL125W YDL215C
YIL125W YDR178W
YIL125W YOL126C
YIL125W YJL200C
YIL125W YNL037C
YIL125W YJL046W
YIL125W YAL044C
YIL125W YKL085W
YIL125W YPR001W
YIL125W YLL041C
YIL125W YNL071W
YIL125W YKL148C
YIL125W YLR174W
YIL125W YGR193C
YIL125W YPL160W
YIL125W YGR244C
YIL125W YDL078C
YIL125W YBL076C
YIL125W YOR142W
YIL125W YCR005C
YIL125W YNR001C
YIL125W YDL066W
YIL125W YER178W
YIL125W YDR148C
YIL125W YLR304C
YIL126W YKR008W
YIL126W YMR091C
YIL126W YBR289W
YIL126W YHR056C
YIL126W YLR033W
YIL126W YDL140C
YIL126W YGR116W
YIL126W YMR033W
YIL126W YNL031C
YIL126W YDR303C
YIL126W YBL006C
YIL126W YJL176C
YIL126W YPL129W
YIL126W YGL207W
YIL126W YPR034W
YIL126W YML127W
YIL126W YJL081C
YIL126W YFR037C
YIL126W YCR020W-B
YIL126W YGR275W
YIL126W YNR023W
YIL126W YDR334W
YIL126W YGR056W
YIL126W YLR357W
YIL126W YFL039C
YIL126W YCR052W
YIL126W YDL240W
YIL126W YBR010W
YIL126W YLR321C
YIL126W YGR252W
YIL127C YOR252W
YIL127C YBL028C
YIL127C YHR052W
YIL127C YJL122W
YIL127C YMR093W
YIL127C YLR186W
YIL127C YPL043W
YIL127C YOL010W
YIL127C YDR339C
YIL127C YLR009W
YIL127C YKL082C
YIL127C YOR078W
YIL127C YLR197W
YIL127C YMR014W
YIL127C YLR051C
YIL127C YCL059C
YIL127C YDR361C
YIL127C YLL011W
YIL127C YER126C
YIL127C YOR287C
YIL127C YNR024W
YIL127C YIL096C
YIL127C YGR280C
YIL127C YNL075W
YIL127C YBR247C
YIL127C YDL153C
YIL127C YHR081W
YIL127C YIL019W
YIL127C YNL132W
YIL127C YOL077C
YIL127C YPR137W
YIL127C YDR083W
YIL127C YGL029W
YIL127C YAL025C
YIL127C YER002W
YIL127C YGR145W
YIL127C YNL110C
YIL127C YHR148W
YIL127C YDR496C
YIL127C YOR145C
YIL127C YER082C
YIL127C YKR081C
YIL127C YGL078C
YIL127C YDR398W
YIL127C YKL099C
YIL127C YDR449C
YIL127C YOR294W
YIL127C YDL148C
YIL127C YHR088W
YIL127C YHR066W
YIL127C YKL172W
YIL127C YLR222C
YIL127C YJL050W
YIL127C YLR409C
YIL127C YBL004W
YIL127C YPR144C
YIL127C YPL217C
YIL127C YER127W
YIL127C YCR016W
YIL127C YML093W
YIL127C YHR196W
YIL127C YGR128C
YIL127C YCL054W
YIL127C YDR299W
YIL127C YHR170W
YIL127C YDL213C
YIL127C YOR004W
YIL128W YIL003W
YIL128W YNL262W
YIL128W YHR122W
YIL128W YCR012W
YIL128W YHR164C
YIL128W YPR048W
YIL128W YKR071C
YIL128W YDR267C
YIL128W YER171W
YIL128W YLR447C
YIL128W YDR091C
YIL128W YGL091C
YIL128W YDL102W
YIL128W YNL240C
YIL129C YHR102W
YIL129C YOR353C
YIL129C YFL034C-B
YIL129C YKL189W
YIL129C YNL161W
YIL131C YDR146C
YIL131C YER111C
YIL131C YLR207W
YIL131C YLR131C
YIL131C YDL056W
YIL131C YLR182W
YIL131C YMR043W
YIL131C YBR160W
YIL131C YOR372C
YIL131C YDR451C
YIL131C YPR119W
YIL131C YBR201W
YIL132C YER095W
YIL132C YLR376C
YIL132C YDR076W
YIL132C YER162C
YIL132C YDR078C
YIL132C YHL006C
YIL132C YGR258C
YIL132C YMR190C
YIL133C YDR101C
YIL133C YER006W
YIL133C YML063W
YIL133C YOL127W
YIL133C YLR061W
YIL133C YOR182C
YIL133C YML024W
YIL133C YDR385W
YIL133C YPR132W
YIL133C YHL015W
YIL133C YKR057W
YIL133C YPR102C
YIL133C YDR429C
YIL133C YHL033C
YIL133C YKL170W
YIL133C YMR116C
YIL133C YLR167W
YIL133C YLR075W
YIL133C YGL076C
YIL133C YJR113C
YIL133C YDL136W
YIL133C YHR141C
YIL133C YGL068W
YIL133C YLR264W
YIL133C YGR027C
YIL133C YNL096C
YIL133C YBR146W
YIL133C YOL120C
YIL133C YKL009W
YIL133C YPL013C
YIL133C YLR441C
YIL133C YDL130W
YIL133C YBR191W
YIL133C YGR148C
YIL133C YGR214W
YIL133C YPR043W
YIL133C YLR388W
YIL133C YMR121C
YIL133C YEL034W
YIL133C YOR272W
YIL133C YOR133W
YIL133C YPL081W
YIL133C YLR344W
YIL133C YBR189W
YIL133C YOR167C
YIL133C YGL103W
YIL133C YFL034C-A
YIL133C YGL099W
YIL133C YAL035W
YIL133C YMR143W
YIL133C YDL075W
YIL133C YNL302C
YIL133C YOL040C
YIL133C YCR031C
YIL133C YDL081C
YIL133C YBR048W
YIL133C YLR448W
YIL133C YKR081C
YIL133C YIL018W
YIL133C YMR146C
YIL133C YPL249C-A
YIL133C YER036C
YIL133C YNR053C
YIL133C YJR123W
YIL133C YER126C
YIL133C YLR325C
YIL133C YLR185W
YIL133C YLR406C
YIL133C YPL183W-A
YIL133C YHR021C
YIL133C YGL147C
YIL133C YDR418W
YIL133C YOR096W
YIL133C YKL006W
YIL133C YJR094W-A
YIL133C YGL135W
YIL133C YPL131W
YIL133C YIL069C
YIL133C YER074W
YIL133C YLR048W
YIL133C YPL198W
YIL133C YGR034W
YIL133C YLR009W
YIL133C YBR181C
YIL133C YML026C
YIL133C YMR194W
YIL133C YER117W
YIL133C YOR063W
YIL133C YJR007W
YIL133C YGR085C
YIL133C YDL061C
YIL133C YBR031W
YIL133C YPL090C
YIL133C YER131W
YIL133C YHL001W
YIL133C YHR010W
YIL133C YHR170W
YIL133C YJL190C
YIL133C YFR031C-A
YIL133C YLR333C
YIL133C YDR064W
YIL133C YNL162W
YIL133C YLR150W
YIL133C YBL027W
YIL133C YJL189W
YIL133C YOL039W
YIL133C YER056C-A
YIL133C YNL301C
YIL133C YLR074C
YIL133C YBL092W
YIL133C YLR367W
YIL133C YEL026W
YIL133C YFR032C-A
YIL133C YOR312C
YIL133C YLR287C-A
YIL133C YJL177W
YIL133C YIL148W
YIL133C YNL002C
YIL133C YJL136C
YIL133C YDR447C
YIL133C YKL180W
YIL133C YGL189C
YIL133C YBL087C
YIL133C YKL156W
YIL133C YHR052W
YIL133C YER102W
YIL133C YPL143W
YIL133C YPL093W
YIL133C YPR016C
YIL133C YLR340W
YIL133C YGL031C
YIL133C YNL069C
YIL133C YOL121C
YIL133C YAL003W
YIL133C YCR046C
YIL133C YEL054C
YIL133C YNL081C
YIL133C YDR500C
YIL133C YMR193W
YIL133C YDR382W
YIL133C YLL045C
YIL133C YMR242C
YIL133C YGL123W
YIL133C YNL178W
YIL133C YKR094C
YIL133C YNL067W
YIL133C YDL191W
YIL133C YML073C
YIL133C YJL191W
YIL133C YDL082W
YIL133C YDR471W
YIL133C YPL220W
YIL133C YLR029C
YIL133C YDR450W
YIL133C YHR203C
YIL133C YGL030W
YIL133C YKL056C
YIL133C YDR012W
YIL133C YJL063C
YIL133C YBL072C
YIL133C YMR142C
YIL133C YDL083C
YIL133C YOR234C
YIL133C YDR025W
YIL133C YOR293W
YIL133C YBR084C-A
YIL133C YOR369C
YIL133C YPL079W
YIL133C YMR230W
YIL133C YHR193C
YIL133C YNL005C
YIL133C YJR145C
YIL133C YGR118W
YIL133C YIL052C
YIL134W YKL141W
YIL134W YMR178W
YIL134W YDR178W
YIL134W YDL045C
YIL134W YDR236C
YIL134W YLL041C
YIL136W YLR258W
YIL136W YGR088W
YIL136W YGR043C
YIL136W YOR173W
YIL136W YGL121C
YIL136W YDR070C
YIL136W YIL155C
YIL136W YEL011W
YIL136W YBR230C
YIL136W YDL204W
YIL136W YMR169C
YIL136W YFR017C
YIL136W YML100W
YIL136W YMR105C
YIL136W YLR178C
YIL136W YHR087W
YIL136W YNL195C
YIL136W YMR250W
YIL136W YML128C
YIL136W YPL186C
YIL136W YNL055C
YIL136W YGR248W
YIL136W YOL052C-A
YIL136W YGR008C
YIL137C YDR252W
YIL137C YHR193C
YIL137C YPL037C
YIL137C YFL005W
YIL138C YFL039C
YIL138C YHR023W
YIL138C YDL029W
YIL138C YMR092C
YIL138C YOR326W
YIL138C YOR122C
YIL138C YIL159W
YIL138C YDR129C
YIL138C YNL271C
YIL138C YLL050C
YIL139C YDR419W
YIL139C YNL262W
YIL139C YJR006W
YIL139C YIR008C
YIL139C YJR043C
YIL139C YBL035C
YIL139C YDL102W
YIL139C YPR175W
YIL139C YKL045W
YIL139C YBR278W
YIL139C YOR346W
YIL139C YPL167C
YIL139C YNL102W
YIL139C YDR121W
YIL140W YCL014W
YIL140W YJR092W
YIL140W YCR038C
YIL142W YML073C
YIL142W YDR212W
YIL142W YDL188C
YIL142W YGL123W
YIL142W YNL178W
YIL142W YER025W
YIL142W YJL014W
YIL142W YGR253C
YIL142W YJR007W
YIL142W YOR063W
YIL142W YNL069C
YIL142W YKL180W
YIL142W YPL048W
YIL142W YDL134C
YIL142W YDL143W
YIL142W YJL111W
YIL142W YJL008C
YIL142W YDR188W
YIL142W YPL131W
YIL142W YOR310C
YIL142W YFL039C
YIL142W YKL081W
YIL142W YPL237W
YIL142W YHL015W
YIL142W YMR029C
YIL142W YJR064W
YIL142W YDR101C
YIL142W YOR362C
YIL142W YDL209C
YIL142W YMR116C
YIL142W YGL190C
YIL143C YDR460W
YIL143C YOL005C
YIL143C YDL108W
YIL143C YLR005W
YIL143C YOR151C
YIL143C YJL140W
YIL143C YGR005C
YIL143C YMR201C
YIL143C YDR404C
YIL143C YGR258C
YIL143C YER148W
YIL143C YJR035W
YIL143C YBR154C
YIL143C YOR352W
YIL143C YJR052W
YIL143C YJL006C
YIL143C YKR062W
YIL143C YGR186W
YIL143C YKL058W
YIL143C YPR056W
YIL143C YPL129W
YIL143C YML095C
YIL143C YKL028W
YIL143C YBR114W
YIL143C YIL021W
YIL143C YOR194C
YIL143C YMR190C
YIL143C YPR187W
YIL143C YER162C
YIL143C YKL112W
YIL143C YPR086W
YIL143C YDR311W
YIL143C YPR025C
YIL143C YPL022W
YIL143C YNL312W
YIL143C YKL139W
YIL143C YHR143W-A
YIL143C YOR224C
YIL143C YDL140C
YIL143C YOR210W
YIL143C YPL122C
YIL143C YDR079C-A
YIL143C YOL135C
YIL143C YGL043W
YIL143C YEL037C
YIL143C YGL070C
YIL143C YER171W
YIL144W YLL022C
YIL144W YJL013C
YIL144W YDL028C
YIL144W YJL074C
YIL144W YPR141C
YIL144W YGR113W
YIL144W YFL037W
YIL144W YNL126W
YIL144W YPL155C
YIL144W YBL097W
YIL144W YGR188C
YIL144W YDL003W
YIL144W YJL030W
YIL144W YOL069W
YIL144W YLR272C
YIL144W YBR010W
YIL144W YJR089W
YIL144W YBL063W
YIL144W YOR058C
YIL144W YMR117C
YIL144W YEL061C
YIL144W YBR135W
YIL144W YKR037C
YIL144W YOR026W
YIL144W YKL049C
YIL144W YER016W
YIL144W YIR010W
YIL144W YBR274W
YIL144W YML085C
YIL144W YLR208W
YIL144W YNL088W
YIL144W YML124C
YIL144W YPL209C
YIL144W YGR280C
YIL144W YFL008W
YIL144W YMR001C
YIL144W YOR339C
YIL144W YGL116W
YIL144W YPL018W
YIL144W YGL093W
YIL144W YOR269W
YIL144W YLR086W
YIL144W YOL034W
YIL144W YJR068W
YIL144W YDR325W
YIL144W YJL194W
YIL144W YGL216W
YIL144W YFR031C
YIL144W YAL034W-A
YIL144W YER018C
YIL144W YGR098C
YIL144W YKR054C
YIL144W YNL031C
YIL144W YLR045C
YIL145C YMR250W
YIL145C YGR019W
YIL145C YER073W
YIL145C YMR169C
YIL145C YMR110C
YIL145C YHR063C
YIL145C YBR176W
YIL145C YMR170C
YIL145C YOR374W
YIL145C YIL083C
YIL145C YGL026C
YIL145C YPL061W
YIL145C YDR531W
YIL146C YJL185C
YIL146C YBL078C
YIL146C YLR356W
YIL146C YPR024W
YIL146C YGL180W
YIL146C YPR049C
YIL146C YOL082W
YIL147C YLR362W
YIL147C YER118C
YIL147C YOR208W
YIL147C YLR113W
YIL147C YGR014W
YIL147C YCR073C
YIL147C YNR031C
YIL147C YJL128C
YIL147C YGL038C
YIL147C YDL235C
YIL148W YLL039C
YIL148W YDR418W
YIL148W YGL147C
YIL148W YOR096W
YIL148W YDR025W
YIL148W YOR293W
YIL148W YKL006W
YIL148W YBR084C-A
YIL148W YDR177W
YIL148W YOR369C
YIL148W YHR021C
YIL148W YBL072C
YIL148W YMR142C
YIL148W YOR234C
YIL148W YDL083C
YIL148W YDR012W
YIL148W YLR325C
YIL148W YLR406C
YIL148W YLR185W
YIL148W YER125W
YIL148W YJR123W
YIL148W YGL030W
YIL148W YHR203C
YIL148W YKL056C
YIL148W YGR118W
YIL148W YML026C
YIL148W YIL052C
YIL148W YMR194W
YIL148W YER117W
YIL148W YFR010W
YIL148W YLR048W
YIL148W YPL198W
YIL148W YGR034W
YIL148W YBR181C
YIL148W YLR009W
YIL148W YIL069C
YIL148W YGL087C
YIL148W YJR145C
YIL148W YGL011C
YIL148W YER074W
YIL148W YPL079W
YIL148W YJR094W-A
YIL148W YGL135W
YIL148W YPL131W
YIL148W YMR230W
YIL148W YBR189W
YIL148W YLR344W
YIL148W YOR167C
YIL148W YGL103W
YIL148W YFL034C-A
YIL148W YDR382W
YIL148W YOR133W
YIL148W YPL081W
YIL148W YDR500C
YIL148W YDR092W
YIL148W YMR121C
YIL148W YEL054C
YIL148W YEL034W
YIL148W YJL191W
YIL148W YDL082W
YIL148W YDR471W
YIL148W YPL220W
YIL148W YLR029C
YIL148W YPL249C-A
YIL148W YDR450W
YIL148W YIL133C
YIL148W YKL210W
YIL148W YBR175W
YIL148W YCR031C
YIL148W YOL040C
YIL148W YDL081C
YIL148W YML073C
YIL148W YBR048W
YIL148W YLR448W
YIL148W YIL018W
YIL148W YMR242C
YIL148W YNL302C
YIL148W YNL178W
YIL148W YGL123W
YIL148W YPR103W
YIL148W YKR094C
YIL148W YNL067W
YIL148W YMR223W
YIL148W YDL191W
YIL148W YMR143W
YIL148W YDL075W
YIL148W YLL045C
YIL148W YNL096C
YIL148W YDR447C
YIL148W YKL180W
YIL148W YBL087C
YIL148W YGL189C
YIL148W YKL156W
YIL148W YHR141C
YIL148W YNL002C
YIL148W YJL136C
YIL148W YLR264W
YIL148W YGR027C
YIL148W YOR312C
YIL148W YFR004W
YIL148W YLR287C-A
YIL148W YDL136W
YIL148W YJR113C
YIL148W YJL177W
YIL148W YMR116C
YIL148W YLR075W
YIL148W YLR167W
YIL148W YGL076C
YIL148W YFR032C-A
YIL148W YLR388W
YIL148W YNL069C
YIL148W YOL121C
YIL148W YHR200W
YIL148W YAL003W
YIL148W YPR043W
YIL148W YLR340W
YIL148W YGL031C
YIL148W YEL009C
YIL148W YDL130W
YIL148W YBR191W
YIL148W YGR148C
YIL148W YPL143W
YIL148W YPR016C
YIL148W YGR214W
YIL148W YOL120C
YIL148W YLR015W
YIL148W YLR441C
YIL148W YER102W
YIL148W YLR061W
YIL148W YCL008C
YIL148W YHR010W
YIL148W YHL001W
YIL148W YOR253W
YIL148W YHR170W
YIL148W YLR421C
YIL148W YPL090C
YIL148W YBR031W
YIL148W YOL127W
YIL148W YER131W
YIL148W YJR099W
YIL148W YOR063W
YIL148W YDL061C
YIL148W YGR085C
YIL148W YGL048C
YIL148W YDR101C
YIL148W YML063W
YIL148W YAR003W
YIL148W YHL033C
YIL148W YBL092W
YIL148W YLR367W
YIL148W YKL170W
YIL148W YNL162W
YIL148W YBL027W
YIL148W YOL039W
YIL148W YJL189W
YIL148W YER056C-A
YIL148W YNL301C
YIL148W YLR387C
YIL148W YLR333C
YIL148W YHL015W
YIL148W YDR064W
YIL148W YPR102C
YIL148W YKR057W
YIL148W YJL190C
YIL148W YOR182C
YIL148W YER094C
YIL148W YFR031C-A
YIL148W YDR385W
YIL148W YML024W
YIL148W YPR132W
YIL149C YFR002W
YIL149C YDR381W
YIL149C YDL088C
YIL149C YDR159W
YIL149C YIL115C
YIL149C YJL039C
YIL149C YGL172W
YIL149C YOR098C
YIL149C YJL041W
YIL149C YKR082W
YIL149C YJR042W
YIL149C YAR002W
YIL149C YGL092W
YIL149C YGL100W
YIL149C YPL020C
YIL149C YMR153W
YIL149C YMR129W
YIL149C YDL116W
YIL149C YER105C
YIL149C YKR095W
YIL149C YPL169C
YIL149C YLR335W
YIL149C YGL086W
YIL149C YLR347C
YIL150C YNL030W
YIL150C YNL261W
YIL150C YJL194W
YIL150C YLR103C
YIL150C YNL031C
YIL150C YBL023C
YIL150C YGL201C
YIL150C YOL006C
YIL150C YBR202W
YIL150C YBR088C
YIL150C YOL146W
YIL150C YLR274W
YIL150C YNL273W
YIL150C YDR013W
YIL150C YDL042C
YIL150C YBR009C
YIL150C YJL090C
YIL150C YKL045W
YIL150C YLL004W
YIL150C YBL003C
YIL150C YPR175W
YIL150C YLR442C
YIL150C YKL108W
YIL150C YEL032W
YIL150C YOR060C
YIL150C YDR121W
YIL150C YJL072C
YIL150C YKL113C
YIL150C YNL102W
YIL150C YBR010W
YIL150C YBR160W
YIL150C YBR060C
YIL150C YPR162C
YIL150C YDL017W
YIL150C YBR278W
YIL150C YPR135W
YIL150C YBL002W
YIL150C YML065W
YIL150C YDR224C
YIL150C YDR489W
YIL150C YBR274W
YIL150C YDR052C
YIL150C YMR048W
YIL150C YML069W
YIL150C YMR190C
YIL150C YCL061C
YIL150C YNL262W
YIL150C YDR225W
YIL150C YPR019W
YIL150C YIR008C
YIL150C YGL207W
YIL150C YBL035C
YIL150C YJL065C
YIL150C YJL030W
YIL150C YHR164C
YIL153W YDL134C
YIL153W YMR028W
YIL153W YPL152W
YIL153W YNL201C
YIL153W YAL016W
YIL153W YDR435C
YIL153W YDL047W
YIL153W YDL188C
YIL153W YJR017C
YIL153W YGL190C
YIL153W YHR075C
YIL153W YPR040W
YIL153W YOR014W
YIL153W YDR075W
YIL154C YMR035W
YIL155C YDL022W
YIL155C YML070W
YIL155C YOR374W
YIL155C YFL053W
YIL155C YML054C
YIL155C YPL206C
YIL155C YML120C
YIL155C YIL136W
YIL155C YPL110C
YIL155C YOL059W
YIL155C YHL032C
YIL155C YBR230C
YIL155C YMR145C
YIL155C YBL011W
YIL155C YKR067W
YIL155C YDL085W
YIL156W YBL067C
YIL156W YKR098C
YIL156W YER098W
YIL156W-B YJL127C-B
YIL157C Q0045
YIL157C YML129C
YIL157C YGR112W
YIL157C YJL062W-A
YIL157C YLR203C
YIL159W YPR165W
YIL159W YIL138C
YIL159W YKR055W
YIL159W YMR032W
YIL159W YLR229C
YIL159W YPL242C
YIL159W YFL039C
YIL159W YJR065C
YIL159W YLR319C
YIL159W YOR122C
YIL159W YNL079C
YIL159W YAR014C
YIL159W YNL271C
YIL159W YLL050C
YIL159W YOR181W
YIL159W YKL079W
YIL159W YHR023W
YIL159W YDL029W
YIL159W YOR326W
YIL160C YPL154C
YIL160C YPL111W
YIL160C YDR142C
YIL160C YOR180C
YIL160C YLR284C
YIL160C YBR222C
YIL160C YLR153C
YIL160C YJR154W
YIL160C YPL028W
YIL160C YHR160C
YIL160C YLR191W
YIL160C YOR142W
YIL160C YAL054C
YIL160C YML126C
YIL160C YLR422W
YIL160C YGL205W
YIL160C YFR018C
YIL160C YER015W
YIL160C YDR244W
YIL160C YLR351C
YIL160C YKR009C
YIL160C YGL153W
YIL161W YIL163C
YIL162W YDR261C
YIL162W YIL172C
YIL162W YLR300W
YIL162W YGR287C
YIL162W YFR053C
YIL162W YLR446W
YIL162W YGL253W
YIL162W YGR292W
YIL162W YJL216C
YIL162W YOL157C
YIL162W YGL035C
YIL162W YEL021W
YIL162W YBR299W
YIL162W YCL040W
YIL162W YDR516C
YIL162W YOR190W
YIL162W YGR282C
YIL163C YIL161W
YIL164C YPL061W
YIL164C YDL215C
YIL164C YOR375C
YIL164C YMR170C
YIL164C YJL126W
YIL164C YOR374W
YIL164C YMR169C
YIL164C YMR110C
YIL164C YDR242W
YIL164C YMR250W
YIL164C YPR035W
YIL164C YER073W
YIL164C YIL165C
YIL164C YAL062W
YIL165C YIL164C
YIL166C YLL057C
YIL169C YOL155C
YIL172C YIL099W
YIL172C YIL162W
YIL176C YNR076W
YIL176C YIR041W
YIL176C YLL064C
YIL176C YAL068C
YIL176C YLR461W
YIL176C YGL261C
YIL176C YLL025W
YIL176C YHL046C
YIL176C YDR542W
YIL176C YBR301W
YIL176C YCR104W
YIL176C YKL224C
YIL176C YFL020C
YIL176C YMR325W
YIL176C YJL223C
YIL176C YAR020C
YIL176C YEL049W
YIL176C YOL161C
YIL176C YLR037C
YIL176C YGR294W
YIL177C YML133C
YIL177C YLL066C
YIL177C YIL177W-A
YIL177C YLR466W
YIL177C YNL339C
YIL177C YJL225C
YIL177C YLR467W
YIL177W-A YIL177C
YIR001C YOR001W
YIR001C YER165W
YIR001C YGR250C
YIR001C YGL049C
YIR001C YKR002W
YIR002C YPL167C
YIR002C YAR007C
YIR002C YBR098W
YIR002C YPL022W
YIR002C YNL312W
YIR002C YML061C
YIR002C YLR383W
YIR002C YLR032W
YIR002C YLR234W
YIR002C YHR031C
YIR002C YOL034W
YIR002C YER095W
YIR002C YDR097C
YIR002C YMR190C
YIR002C YDR004W
YIR002C YEL019C
YIR002C YOL086W-A
YIR002C YDR386W
YIR002C YML032C
YIR002C YHR164C
YIR002C YML095C
YIR002C YDL160C-A
YIR002C YGR042W
YIR002C YGL163C
YIR002C YJL092W
YIR002C YPL024W
YIR003W YER071C
YIR003W YJL020C
YIR003W YIL034C
YIR003W YCR088W
YIR005W YMR240C
YIR005W YHR165C
YIR005W YPL064C
YIR005W YLR117C
YIR005W YER172C
YIR005W YGR074W
YIR005W YPR101W
YIR005W YGL174W
YIR005W YML049C
YIR005W YFL017W-A
YIR005W YDL209C
YIR005W YPR182W
YIR005W YKL173W
YIR005W YIR009W
YIR005W YNR011C
YIR005W YPL213W
YIR005W YLR323C
YIR005W YGR278W
YIR005W YDL098C
YIR005W YBR188C
YIR005W YPL151C
YIR005W YGR129W
YIR005W YNR032C-A
YIR005W YDR163W
YIR005W YLL036C
YIR005W YJR050W
YIR005W YLR147C
YIR005W YJL203W
YIR005W YPR094W
YIR005W YER029C
YIR005W YMR288W
YIR005W YCR063W
YIR005W YLR016C
YIR005W YOR319W
YIR005W YLR275W
YIR005W YDR482C
YIR005W YOR308C
YIR005W YDR416W
YIR005W YOR159C
YIR005W YMR213W
YIR005W YNL138W-A
YIR005W YDL030W
YIR005W YKL074C
YIR005W YBR065C
YIR005W YDL043C
YIR005W YDR364C
YIR005W YAL032C
YIR006C YJR125C
YIR006C YJL020C
YIR006C YLR206W
YIR006C YBL037W
YIR006C YDL029W
YIR006C YGL206C
YIR006C YNL243W
YIR006C YOR181W
YIR006C YIL095W
YIR006C YGR167W
YIR006C YDR388W
YIR006C YNL084C
YIR006C YAL048C
YIR006C YNL020C
