node1 node2
RPN4 RPL37B
RPN4 SPG3
RPN4 EMI1
RPN4 SLF1
RPN4 EMI2
RPN4 SPS1
RPN4 HSP31
RPN4 FIT1
RPN4 YDR535C
RPN4 IRC4
RPN4 YEL073C
RPN4 DLD3
RPN4 HXT13
RPN4 PRB1
RPN4 SOM1
RPN4 YEL059W
RPN4 SDD1
RPN4 RPL12A
RPN4 PAU2
RPN4 YEF1
RPN4 CYC7
RPN4 UTR5
RPN4 UBC8
RPN4 GLC3
RPN4 TIR1
RPN4 ZRG8
RPN4 EDC2
RPN4 PHM8
RPN4 MEI4
RPN4 ACA1
RPN4 PIC2
RPN4 RPL34A
RPN4 PET117
RPN4 CEM1
RPN4 GPP2
RPN4 RGI1
RPN4 ARG5,6
RPN4 ALD5
RPN4 RPS24A
RPN4 SER3
RPN4 YER084W
RPN4 YER085C
RPN4 SBH1
RPN4 SHC1
RPN4 YER097W
RPN4 RPS8B
RPN4 SSA4
RPN4 MAM1
RPN4 KAP123
RPN4 RPL23B
RPN4 AVT6
RPN4 YER121W
RPN4 RPS26B
RPN4 MAG1
RPN4 DDI1
RPN4 SPI1
RPN4 YER158C
RPN4 RAD4
RPN4 GCG1
RPN4 RPH1
RPN4 DMC1
RPN4 PUG1
RPN4 THI5
RPN4 AAD16
RPN4 AGP3
RPN4 AQY3
RPN4 YFL051C
RPN4 SEC53
RPN4 OTU1
RPN4 AGX1
RPN4 CAK1
RPN4 MDJ1
RPN4 YFL015C
RPN4 HSP12
RPN4 YFL012W
RPN4 YPI1
RPN4 RPN11
RPN4 IGD1
RPN4 CSS2
RPN4 PES4
RPN4 LSB3
RPN4 RPL2A
RPN4 RRT5
RPN4 RPL29
RPN4 YFR035C
RPN4 PRE4
RPN4 RPN12
RPN4 HXK1
RPN4 YFR054C
RPN4 IRC7
RPN4 YGL258W-A
RPN4 VEL1
RPN4 ZIP2
RPN4 PDE1
RPN4 DOC1
RPN4 MTO1
RPN4 YGL230C
RPN4 VRG4
RPN4 YGL214W
RPN4 YGL199C
RPN4 IME4
RPN4 RPS26A
RPN4 STR3
RPN4 MND1
RPN4 YGL182C
RPN4 ATG1
RPN4 SPO74
RPN4 RCK1
RPN4 AMS1
RPN4 YGL152C
RPN4 RPL9A
RPN4 RRT6
RPN4 HUL5
RPN4 RPL1B
RPN4 RPS2
RPN4 NAB2
RPN4 GPG1
RPN4 YGL117W
RPN4 VPS73
RPN4 RPL28
RPN4 MMS2
RPN4 RPL7A
RPN4 YGL072C
RPN4 PYC1
RPN4 PRM8
RPN4 YGL052W
